final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,noise_level,run_index
74.10056146046418,12674.44380774854,40071.89785887905,12600.343246288076,39997.79729741858,27397.45405113051,4,4,4,0.04974246025085449,0.09136985252129359,28
74.09794440712581,12674.443459641065,40071.89760721077,12600.34551523394,39997.79966280364,27397.454147569704,4,4,4,0.051939964294433594,0.014540932425614772,29
74.09303509811006,12674.443571906437,40071.897482462904,12600.350536808326,39997.8044473648,27397.45391055647,4,4,4,0.0478670597076416,0.036344073483136244,30
74.1065693347262,12674.443544643014,40071.89803197926,12600.336975308288,39997.791462644534,27397.454487336247,4,4,4,0.04792428016662598,0.06777275997528066,31
74.09024466771767,12674.443691297289,40071.89737326335,12600.353446629571,39997.80712859563,27397.453681966064,4,4,4,0.049333810806274414,0.05587121256651693,32
74.09761867824064,12674.443693507974,40071.89763348506,12600.346074829733,39997.80001480682,27397.453939977087,4,4,4,0.05224251747131348,0.06635214385598129,33
74.09746348519924,12674.443560294802,40071.89753137039,12600.346096809602,39997.80006788519,27397.453971075593,4,4,4,0.04835796356201172,0.009455551778489668,34
74.0981777301737,12674.443771827577,40071.897603538026,12600.345594097404,39997.799425807854,27397.45383171045,4,4,4,0.050642967224121094,0.05293228399840735,35
74.0918085743648,12674.443602934954,40071.89760725584,12600.35179436059,39997.80579868148,27397.45400432089,4,4,4,0.051392555236816406,0.06921904702358876,36
74.09734351551222,12674.443587676762,40071.89770006439,12600.34624416125,39997.80035654888,27397.454112387633,4,4,4,0.04830336570739746,0.04617402717628773,37
74.09824054108424,12674.443507802222,40071.8975448328,12600.345267261137,39997.799304291715,27397.454037030577,4,4,4,0.04754018783569336,0.011219441005907084,38
74.08904478248917,12674.443295849305,40071.89734387053,12600.354251066816,39997.80829908804,27397.454048021224,4,4,4,0.04853677749633789,0.04389578722383648,39
74.09752955663569,12674.443704065914,40071.89755905417,12600.346174509279,39997.80002949753,27397.453854988253,4,4,4,0.04826974868774414,0.04945343916219213,40
74.10219974108323,12674.443680173403,40071.89770714866,12600.34148043232,39997.79550740757,27397.454026975254,4,4,4,0.0504910945892334,0.037488966542250826,41
74.10185927206423,12674.443406654587,40071.89791362946,12600.341547382523,39997.79605435739,27397.45450697487,4,4,4,0.05032157897949219,0.08402855509071105,42
74.09272354751525,12674.443773731175,40071.897804008484,12600.351050183659,39997.80508046097,27397.45403027731,4,4,4,0.04774165153503418,0.08446088517569264,43
74.10625785561508,12674.443881323594,40071.897912267756,12600.337623467978,39997.79165441214,27397.45403094416,4,4,4,0.04795050621032715,0.0723394867471243,44
74.10407764694742,12674.44351927186,40071.89756954751,12600.339441624912,39997.793491900564,27397.45405027565,4,4,4,0.052019596099853516,0.0715543472257606,45
74.09650415138348,12674.443380449167,40071.897643107484,12600.346876297785,39997.8011389561,27397.454262658317,4,4,4,0.05031013488769531,0.0746572771663131,46
74.10472781549112,12674.44323386213,40071.89753011524,12600.338506046639,39997.792802299744,27397.45429625311,4,4,4,0.04892301559448242,0.07971807609530719,47
74.10399752344306,12674.443055675929,40071.89796017172,12600.339058152485,39997.79396264828,27397.454904495793,4,4,4,0.048116207122802734,0.08087419244951266,48
74.10211794494766,12674.443473615614,40071.8978189542,12600.341355670667,39997.79570100926,27397.45434533859,4,4,4,0.05375409126281738,0.04563448930723843,49
74.10659354429839,12674.443882086875,40071.89789491508,12600.337288542576,39997.79130137078,27397.454012828202,4,4,4,0.048966169357299805,0.07756925381472156,50
74.09461424254037,12674.443504384766,40071.897811148476,12600.348890142226,39997.80319690594,27397.45430676371,4,4,4,0.049002885818481445,0.060881816082324625,51
74.10139293310647,12674.443542163233,40071.897726367475,12600.342149230128,39997.796333434366,27397.45418420424,4,4,4,0.04963970184326172,0.0360891951376509,52
74.09836930546798,12674.443454710634,40071.897610130145,12600.345085405166,39997.79924082468,27397.45415541951,4,4,4,0.050885915756225586,0.024667952435634743,53
74.1008433148875,12674.443664378123,40071.89800895065,12600.342821063236,39997.79716563576,27397.45434457253,4,4,4,0.04940223693847656,0.042017942040587425,54
74.09872198207374,12674.443508629432,40071.897589510336,12600.344786647358,39997.79886752826,27397.454080880903,4,4,4,0.049089908599853516,0.013434470701011648,55
74.10519482413349,12674.44353018728,40071.89785601162,12600.338335363147,39997.79266118749,27397.454325824343,4,4,4,0.05313539505004883,0.0331366808079672,56
74.09626466899977,12674.443697637445,40071.89758129503,12600.347432968445,39997.80131662603,27397.453883657585,4,4,4,0.05094623565673828,0.027623367519304245,57
74.10109194076274,12674.443310080198,40071.897939710965,12600.342218139434,39997.7968477702,27397.454629630767,4,4,4,0.04998326301574707,0.06905504412402,58
